0.451,0.457,0.438,0.088,0.451,0.368,0.454,0.396,0.001,0.021,0.038,0.065,0.676,0.176,0.953,1
0.606,0.622,0.552,0.12,0.606,0.401,0.61,0.486,0.169,0.145,0.085,0.125,0.619,0.122,0.941,1
0.399,0.29,0.267,0.043,0.399,0.69,0.322,0.408,0.025,0.142,0.14,0.293,0.287,0.211,0.871,2
0.635,0.63,0.512,0.12,0.635,0.481,0.621,0.488,0.037,0.345,0.082,0.163,0.383,0.125,0.944,1
0.6,0.551,0.508,0.084,0.6,0.454,0.562,0.431,0.008,0.089,0.087,0.145,0.527,0.105,0.923,1
0.436,0.296,0.299,0.032,0.436,0.655,0.34,0.389,0.019,0.198,0.268,0.413,0.229,0.203,0.748,3
0.335,0.249,0.252,0.033,0.335,0.616,0.276,0.388,0.013,0.075,0.098,0.187,0.425,0.252,0.898,2
0.357,0.282,0.234,0.12,0.357,0.58,0.301,0.426,0.046,0.134,0.23,0.325,0.456,0.369,0.809,3
0.557,0.45,0.449,0.044,0.557,0.514,0.483,0.486,0.034,0.135,0.081,0.154,0.498,0.198,0.944,2
0.601,0.511,0.419,0.07,0.601,0.563,0.53,0.542,0.035,0.174,0.134,0.143,0.655,0.211,0.926,1
0.323,0.367,0.328,0.132,0.326,0.386,0.35,0.385,0.012,0.034,0.312,0.395,0.303,0.241,0.705,3
0.136,0.116,0.059,0.059,0.135,0.542,0.117,0.158,0.0,0.001,0.089,0.174,0.632,0.408,0.723,3
0.637,0.706,0.664,0.152,0.64,0.28,0.681,0.69,0.109,0.095,0.326,0.4,0.277,0.186,0.878,2
0.213,0.098,0.084,0.162,0.213,0.843,0.133,0.186,0.005,0.047,0.324,0.478,0.223,0.207,0.338,3
0.372,0.372,0.377,0.075,0.372,0.306,0.372,0.37,0.0,0.005,0.067,0.148,0.517,0.269,0.918,2
0.421,0.553,0.63,0.259,0.442,0.006,0.52,0.405,0.041,0.181,0.027,0.058,0.641,0.16,0.965,1
0.87,0.919,0.859,0.146,0.87,0.292,0.898,0.734,0.18,0.114,0.161,0.205,0.468,0.117,0.957,1
0.904,0.896,0.816,0.116,0.904,0.347,0.89,0.831,0.132,0.104,0.121,0.133,0.633,0.215,0.985,1
0.442,0.485,0.434,0.125,0.442,0.331,0.467,0.427,0.001,0.022,0.125,0.256,0.372,0.243,0.891,2
0.597,0.559,0.518,0.077,0.596,0.41,0.567,0.535,0.014,0.084,0.106,0.132,0.621,0.194,0.941,1
0.514,0.339,0.196,0.053,0.514,0.767,0.38,0.438,0.003,0.044,0.14,0.287,0.333,0.217,0.885,3
0.675,0.703,0.694,0.109,0.675,0.241,0.694,0.666,0.105,0.091,0.153,0.192,0.581,0.24,0.947,1
0.118,0.184,0.32,0.773,0.147,0.179,0.177,0.251,0.0,0.015,0.09,0.184,0.493,0.317,0.824,2
0.649,0.621,0.583,0.088,0.648,0.389,0.626,0.574,0.075,0.257,0.136,0.157,0.523,0.201,0.934,1
0.82,0.774,0.512,0.124,0.82,0.674,0.762,0.764,1.0,0.678,0.314,0.453,0.27,0.275,0.906,3
0.565,0.593,0.561,0.122,0.565,0.312,0.581,0.493,0.049,0.299,0.054,0.1,0.568,0.221,0.964,1
0.503,0.508,0.534,0.076,0.503,0.276,0.509,0.444,0.005,0.045,0.074,0.129,0.581,0.208,0.937,1
0.204,0.143,0.132,0.032,0.204,0.518,0.161,0.169,0.0,0.005,0.041,0.104,0.578,0.316,0.831,3
